Time (s),Stack (T),Pad (T),Electrolyte (T),Stack (V) /STM32,Cath in P,Cath out P,Stack (V),Time (m),Stack (V)
1669987994,35,38,36,1004,132,127,0.602,0,0.602
1669987998,35,37,36,953,93,44,0.602,0.066666667,0.602
1669988002,35,37,36,1945,1336,1327,0.604,0.133333333,0.604
1669988006,35,37,36,1602,639,620,0.604,0.2,0.604
1669988010,35,37,36,1623,946,963,0.604,0.266666667,0.604
1669988014,35,37,36,1627,991,997,0.605,0.333333333,0.605
1669988018,35,37,36,1701,394,423,0.605,0.4,0.605
1669988022,35,38,36,1800,1577,1585,0.605,0.466666667,0.605
1669988029,35,38,36,1652,1325,1365,0.607,0.583333333,0.607
1669988030,35,38,36,1185,186,190,0.607,0.6,0.607
1669988034,35,37,36,1934,963,967,0.607,0.666666667,0.607
1669988038,35,38,36,1948,1652,1627,0.607,0.733333333,0.607
1669988042,35,37,36,1946,1448,1458,0.607,0.8,0.607
1669988046,35,37,36,1613,800,808,1.819,0.866666667,1.819
1669988050,35,37,36,1659,1409,1445,1.8,0.933333333,1.8
1669988054,35,37,36,1004,0,0,1.795,1,1.795
1669988058,35,37,36,1930,905,904,1.792,1.066666667,1.792
1669988062,35,37,36,1908,695,683,1.789,1.133333333,1.789
1669988066,35,38,36,1948,1656,1642,1.787,1.2,1.787
1669988074,35,38,36,1623,962,979,1.785,1.333333333,1.785
1669988078,35,38,36,953,125,49,1.783,1.4,1.783
1669988082,35,38,36,992,1,3,1.783,1.466666667,1.783
1669988086,35,38,36,1959,30,29,1.782,1.533333333,1.782
1669988090,35,38,36,1914,777,775,1.782,1.6,1.782
1669988094,35,38,36,1814,1626,1630,1.78,1.666666667,1.78
1669988098,35,38,36,1948,1674,1667,1.78,1.733333333,1.78
1669988102,35,38,36,1585,384,354,1.78,1.8,1.78
1669988106,35,38,36,1632,1069,1091,1.78,1.866666667,1.78
1669988110,35,38,36,966,48,38,1.78,1.933333333,1.78
1669988114,35,38,36,1938,996,949,1.78,2,1.78
1669988118,35,38,36,1917,805,813,1.78,2.066666667,1.78
1669988122,35,38,36,1937,1672,1670,1.78,2.133333333,1.78
1669988126,35,38,36,1946,1471,1490,1.78,2.2,1.78
1669988130,35,38,36,1627,992,1043,1.78,2.266666667,1.78
1669988134,35,38,36,1791,1586,1614,1.78,2.333333333,1.78
1669988138,35,38,36,992,0,0,1.78,2.4,1.78
1669988142,35,38,36,1856,93,70,1.78,2.466666667,1.78
1669988146,35,38,36,1912,766,769,1.78,2.533333333,1.78
1669988150,35,38,36,1918,834,822,1.782,2.6,1.782
1669988154,35,38,36,1631,1046,1072,1.782,2.666666667,1.782
1669988158,35,38,36,1596,508,514,1.782,2.733333333,1.782
1669988162,35,38,36,1938,1009,921,1.782,2.8,1.782
1669988166,35,38,36,1082,21,2,1.782,2.866666667,1.782
1669988170,35,38,36,1185,235,256,1.783,2.933333333,1.783
1669988174,35,38,36,1650,1347,1338,1.783,3,1.783
1669988178,35,38,36,1596,518,519,1.783,3.066666667,1.783
1669988182,35,38,36,1937,1008,1017,1.783,3.133333333,1.783
1669988186,35,38,36,1946,1502,1506,1.785,3.2,1.785
1669988190,35,38,36,979,16,0,1.785,3.266666667,1.785
1669988194,35,38,36,2063,415,420,1.785,3.333333333,1.785
1669988198,35,38,36,1618,925,964,1.786,3.4,1.786
1669988202,35,38,36,1934,949,972,1.786,3.466666667,1.786
1669988206,35,38,36,1946,1525,1510,1.787,3.533333333,1.787
1669988210,35,38,36,1017,33,0,1.787,3.6,1.787
1669988214,35,38,36,979,104,115,1.787,3.666666667,1.787
1669988218,35,38,36,1946,1624,1625,1.787,3.733333333,1.787
1669988222,35,38,36,1947,1643,1677,1.789,3.8,1.789
1669988226,35,38,36,1830,139,132,1.789,3.866666667,1.789
1669988230,35,38,36,1494,303,301,1.789,3.933333333,1.789
1669988234,35,38,36,1888,573,561,1.79,4,1.79
1669988238,35,38,36,1948,1714,1693,1.79,4.066666667,1.79
1669988242,35,38,36,1947,1668,1630,1.792,4.133333333,1.792
1669988246,35,38,36,1494,336,309,1.792,4.2,1.792
1669988250,35,38,36,1615,869,878,1.792,4.266666667,1.792
1669988254,35,38,36,966,82,68,1.792,4.333333333,1.792
1669988258,35,38,36,1921,91,63,1.793,4.4,1.793
1669988262,35,38,36,1469,373,365,1.793,4.466666667,1.793
1669988266,35,38,36,953,104,39,1.795,4.533333333,1.795
1669988270,35,38,36,1940,1066,1057,1.795,4.6,1.795
1669988274,35,38,36,1625,978,1000,1.796,4.666666667,1.796
1669988278,35,38,36,1610,798,794,1.796,4.733333333,1.796
1669988282,35,38,36,1905,695,709,1.797,4.8,1.797
1669988286,35,38,36,1928,913,901,1.797,4.866666667,1.797
1669988290,35,38,36,1606,688,686,1.797,4.933333333,1.797
1669988294,35,38,36,1443,228,226,1.799,5,1.799
1669988298,35,38,36,1941,1095,1070,1.799,5.066666667,1.799
1669988302,35,38,36,1946,1636,1643,1.799,5.133333333,1.799
1669988306,35,38,36,979,70,54,1.8,5.2,1.8
1669988310,35,38,36,1915,1677,1701,1.8,5.266666667,1.8
1669988314,35,38,36,1623,964,963,1.802,5.333333333,1.802
1669988318,35,38,36,1933,950,963,1.802,5.4,1.802
1669988322,35,38,36,1946,1538,1544,1.803,5.466666667,1.803
1669988326,35,38,36,1004,31,2,1.803,5.533333333,1.803
1669988330,35,38,36,953,92,73,1.804,5.6,1.804
1669988334,35,38,36,1947,1672,1688,1.804,5.666666667,1.804
1669988338,35,38,36,1844,1661,1665,1.804,5.733333333,1.804
1669988342,35,38,36,966,125,113,1.806,5.8,1.806
1669988346,35,38,36,1946,1463,1482,1.806,5.866666667,1.806
1669988350,35,38,36,1942,1185,1182,1.807,5.933333333,1.807
1669988354,35,38,36,1627,1018,1033,1.807,6,1.807
1669988358,35,38,36,1645,1288,1302,1.809,6.066666667,1.809
1669988362,35,38,36,1082,225,204,1.809,6.133333333,1.809
1669988366,35,38,36,1520,396,394,1.809,6.2,1.809
1669988370,35,38,36,1652,1402,1404,1.81,6.266666667,1.81
1669988374,35,38,36,1592,457,461,1.81,6.333333333,1.81
1669988378,35,38,36,1942,1175,1127,1.812,6.4,1.812
1669988382,35,38,36,1030,38,13,1.812,6.466666667,1.812
1669988386,35,38,36,953,118,103,1.813,6.533333333,1.813
1669988390,35,38,36,1948,1672,1748,1.813,6.6,1.813
1669988394,35,38,36,1876,1681,1693,1.814,6.666666667,1.814
1669988398,35,38,36,953,0,20,1.814,6.733333333,1.814
1669988402,35,38,36,1004,12,5,1.816,6.8,1.816
1669988406,35,38,36,1933,962,980,1.816,6.866666667,1.816
1669988410,35,38,36,1911,763,772,1.817,6.933333333,1.817
1669988414,35,38,36,1949,1689,1683,1.817,7,1.817
1669988418,35,38,36,1520,290,332,1.819,7.066666667,1.819
1669988422,35,38,36,1628,1030,1030,1.819,7.133333333,1.819
1669988426,35,38,36,979,38,26,1.819,7.2,1.819
1669988430,35,38,36,1443,255,251,1.82,7.266666667,1.82
1669988434,35,38,36,979,174,165,1.82,7.333333333,1.82
1669988438,36,38,36,1921,88,70,1.822,7.4,1.822
1669988442,36,38,36,1417,371,354,1.822,7.466666667,1.822
1669988446,35,38,36,966,31,16,1.823,7.533333333,1.823
1669988450,35,38,36,1930,988,933,1.823,7.6,1.823
1669988454,35,38,36,1755,1575,1601,1.824,7.666666667,1.824
1669988458,36,38,36,1872,1685,1693,1.824,7.733333333,1.824
1669988462,35,38,36,979,33,24,1.826,7.8,1.826
1669988466,36,38,36,979,29,33,1.827,7.866666667,1.827
1669988470,35,38,36,1939,1041,1055,1.827,7.933333333,1.827
1669988474,36,38,36,1922,880,887,1.827,8,1.827
1669988478,36,38,36,1840,1691,1678,1.829,8.066666667,1.829
1669988482,36,38,36,2191,50,8,1.83,8.133333333,1.83
1669988486,36,38,36,1004,20,12,1.83,8.2,1.83
1669988490,36,38,36,1941,1104,1166,1.831,8.266666667,1.831
1669988494,36,38,36,1944,1320,1303,1.831,8.333333333,1.831
1669988498,36,38,36,1959,66,49,1.833,8.4,1.833
1669988502,36,38,36,979,27,23,1.833,8.466666667,1.833
1669988506,36,38,36,1946,1450,1473,1.834,8.533333333,1.834
1669988510,36,38,36,1946,1626,1619,1.834,8.6,1.834
1669988514,36,38,36,1959,58,74,1.836,8.666666667,1.836
1669988518,36,38,36,1056,39,16,1.837,8.733333333,1.837
1669988522,36,38,36,1939,1029,1043,1.837,8.8,1.837
1669988526,36,38,36,1611,816,817,1.837,8.866666667,1.837
1669988530,36,38,36,1610,792,810,1.839,8.933333333,1.839
1669988534,36,38,36,1880,533,527,1.839,9,1.839
1669988538,36,38,36,1881,553,551,1.84,9.066666667,1.84
1669988542,36,38,36,1913,1717,1713,1.84,9.133333333,1.84
1669988546,36,38,36,1947,1671,1694,1.841,9.2,1.841
1669988550,36,38,36,1753,214,212,1.843,9.266666667,1.843
1669988554,36,38,36,1620,1014,950,1.843,9.333333333,1.843
1669988558,36,38,36,1004,0,16,1.844,9.4,1.844
1669988562,36,38,37,1884,539,543,1.846,9.466666667,1.846
1669988566,36,38,36,1004,33,9,1.846,9.533333333,1.846
1669988570,36,38,36,1884,547,518,1.847,9.6,1.847
1669988574,36,38,36,966,76,70,1.847,9.666666667,1.847
1669988578,36,38,36,1926,900,956,1.848,9.733333333,1.848
1669988582,36,38,36,1855,489,485,1.85,9.8,1.85
1669988586,36,38,36,1946,1566,1558,1.85,9.866666667,1.85
1669988590,36,38,37,1589,405,369,1.851,9.933333333,1.851
1669988594,36,38,37,1546,360,331,1.851,10,1.851
1669988598,36,38,36,1926,945,930,1.853,10.06666667,1.853
1669988602,36,38,36,1942,1293,1354,1.853,10.13333333,1.853
1669988606,36,38,36,1004,10,0,1.854,10.2,1.854
1669988610,36,38,37,2063,464,423,1.854,10.26666667,1.854
1669988614,36,38,37,1631,1104,1108,1.856,10.33333333,1.856
1669988618,36,38,37,1591,482,486,1.857,10.4,1.857
1669988622,36,38,37,1914,833,833,1.857,10.46666667,1.857
1669988626,36,38,37,1650,1397,1426,1.858,10.53333333,1.858
1669988630,36,38,37,1634,1141,1183,1.858,10.6,1.858
1669988634,36,38,37,1615,898,904,1.86,10.66666667,1.86
1669988638,36,38,37,1899,680,689,1.861,10.73333333,1.861
1669988642,36,38,37,1641,1251,1284,1.861,10.8,1.861
1669988646,36,38,37,1610,801,848,1.863,10.86666667,1.863
1669988650,36,38,37,1904,714,730,1.863,10.93333333,1.863
1669988654,36,38,37,1912,798,791,1.864,11,1.864
1669988658,36,38,37,1706,1536,1536,1.864,11.06666667,1.864
1669988662,36,38,37,979,153,99,1.865,11.13333333,1.865
1669988666,36,38,37,979,85,82,1.867,11.2,1.867
1669988670,36,38,37,1945,1456,1478,1.867,11.26666667,1.867
1669988674,36,38,37,1946,1563,1562,1.868,11.33333333,1.868
1669988678,36,38,37,1494,323,348,1.87,11.4,1.87
1669988682,36,38,37,1602,675,677,1.871,11.46666667,1.871
